text,label,cleaned,vader_label,vader_score,finbert_label,finbert_confidence,finbert_score
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",neutral,according gran company plan move production russia although company growing,neutral,-0.128,neutral,0.8857312202453613,0.0
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,last quarter componenta net sale doubled eurm eurm period year earlier moved zero pretax profit pretax loss eurm,neutral,0.1531,positive,0.9481975436210632,0.9481975436210632
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive,third quarter net sale increased eur mn operating profit eur mn,positive,0.6124,positive,0.9570419788360596,0.9570419788360596
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,operating profit rose eur mn eur mn corresponding period representing net sale,positive,0.4404,positive,0.9524030685424805,0.9524030685424805
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,operating profit totalled eur mn eur mn representing net sale,positive,0.4404,positive,0.9550248384475708,0.9550248384475708
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",positive,finnish talentum report operating profit increased eur mn eur mn net sale totaled eur mn eur mn,positive,0.6124,positive,0.9526545405387878,0.9526545405387878
"Clothing retail chain Sepp+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive,clothing retail chain seppl sale increased eur mn operating profit rose eur mn eur mn,positive,0.6124,positive,0.9535664319992065,0.9535664319992065
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",positive,consolidated net sale increased reach eur operating profit amounted eur compared loss eur prior year period,positive,0.4215,positive,0.9587922096252441,0.9587922096252441
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",positive,foundry division report sale increased eur mn eur mn corresponding period sale machine shop division increased eur mn eur mn corresponding period,positive,0.4939,positive,0.9518005847930908,0.9518005847930908
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive,helsinki afx share closed higher led nokia announced plan team sanyo manufacture g handset nokian tyre fourthquarter earnings report beat analyst expectation dealer said,positive,0.296,positive,0.9468708038330078,0.9468708038330078
